species,iucn_status,year,risk.wt
abdita,NT,2014,0.2
abrolhosensis,VU,2008,0.4
abrotanoides,LC,2014,0
acanthopoma,LC,2012,0
acanthura,LC,2011,0
acclinidens,LC,2015,0
achatinus,LC,2013,0
achilles,LC,2012,0
acidula,LC,2010,0
acoroides,LC,2010,0
acrhelia,VU,2008,0.4
actiniformis,VU,2008,0.4
aculeata,VU,2014,0.4
aculeus,VU,2014,0.4
acuminata,LC,2015,0
acuminatus,LC,2010,0
acus,LC,2015,0
acutangulus,LC,2013,0
acutorostrata,LC,2008,0
aemulum,LC,2013,0
aeneus,LC,2010,0
aeneus,EN,2010,0.6
aeneus,CR,2010,0.8
aequicostatus,LC,2008,0
aequinoctialis,LC,2011,0
aequituberculata,LC,2014,0
affinis,LC,2015,0
agallocha,LC,2010,0
agaricia,LC,2014,0
agassizi,LC,2015,0
agricolae,NT,2011,0.2
alalunga,NT,2011,0.2
alba,LC,2015,0
albacares,NT,2011,0.2
albifrons,LC,2012,0
albimarginata,LC,2008,0
albimarginatus,NT,2009,0.2
albipectoralis,LC,2012,0
albisoma,LC,2015,0
albitentaculata,NT,2014,0.2
albofasciata,LC,2010,0
alboguttatus,LC,2014,0
alcicornis,VU,2014,0.4
alcocki,LC,2015,0
alfredi,VU,2011,0.4
alisi,LC,2013,0
allingi,VU,2014,0.4
alpha,LC,2010,0
altasepta,VU,2008,0.4
alternans,LC,2016,0
altigena,NT,2015,0.2
altipinnis,LC,2015,0
altivelis,LC,2010,0
amakusensis,NT,2014,0.2
amblycephalum,LC,2010,0
amboinensis,LC,2014,0
amicorum,LC,2014,0
ammiralis,LC,2013,0
amplexus,LC,2010,0
ampliata,LC,2014,0
anaethetus,LC,2012,0
analis,LC,2015,0
ananas,EN,2013,0.6
anchorago,LC,2010,0
ancylostoma,VU,2016,0.4
anderseni,LC,2015,0
aneitensis,LC,2010,0
angulatus,LC,2011,0
annae,NT,2014,0.2
annulatus,LC,2012,0
annuligera,NT,2008,0.2
antarcticus,LC,2011,0
anthioides,LC,2010,0
anthocercis,VU,2008,0.4
antillarum,LC,2015,0
aphrodite,LC,2013,0
apicalis,LC,2009,0
apiculata,LC,2010,0
approximans,LC,2012,0
apus,LC,2015,0
aquilonaris,CR,2011,0.8
aquilonius,NT,2011,0.2
arafurensis,LC,2015,0
araucarioides,LC,2010,0
arcatus,LC,2016,0
arcuata,LC,2012,0
arenatus,LC,2013,0
areolatus,LC,2008,0
areolatus,VU,2008,0.4
argenteus,LC,2016,0
argo,LC,2014,0
argus,LC,2013,0
ariel,LC,2012,0
armadillo,LC,2013,0
armata,LC,2014,0
armatus,LC,2016,0
arquatus,LC,2010,0
artensis,VU,2010,0.4
articulatus,LC,2013,0
artoptus,LC,2013,0
asiatica,LC,2010,0
aspera,VU,2014,0.4
aspera,LC,2014,0
asperrimus,VU,2016,0.4
asperum,LC,2015,0
aspricaudus,LC,2016,0
astreata,VU,2008,0.4
ater,LC,2014,0
atlantica,LC,2015,0
atlanticum,LC,2015,0
atlanticus,LC,2015,0
atra,LC,2013,0
atratus,LC,2012,0
atrodorsalis,LC,2014,0
atropunctatus,LC,2013,0
atrox,LC,2015,0
atrum,LC,2015,0
attenuata,LC,2012,0
attiti,EN,2012,0.6
attrita,LC,2015,0
aubrianus,VU,2011,0.4
aubryana,CR,2015,0.8
audax,NT,2011,0.2
aulicus,LC,2013,0
aurantiacus,VU,2011,0.4
auratus,EN,2011,0.6
aureus,LC,2013,0
auricomus,LC,2013,0
auriculata,LC,2011,0
auriculatus,LC,2010,0
auriga,LC,2010,0
aurilineata,LC,2010,0
aurora,LC,2013,0
austera,NT,2008,0.2
australe,LC,2013,0
australensis,LC,2014,0
australiensis,LC,2014,0
australis,LC,2015,0
austrocaledonica,NT,2010,0.2
austrocaledonicus,LC,2011,0
avulsus,LC,2011,0
axillaris,LC,2010,0
axiologus,LC,2014,0
aygula,LC,2010,0
baccatus,LC,2011,0
baileyi,LC,2013,0
bailloni,LC,2014,0
baillonii,CR,2015,0.8
balansae,VU,2010,0.4
balansae,LC,2010,0
balansae,EN,2010,0.6
balansana,LC,2010,0
balbo,LC,2015,0
balteatus,LC,2013,0
bandanensis,LC,2010,0
bandanus,LC,2013,0
barbata,LC,2009,0
baronessa,LC,2010,0
barracuda,LC,2015,0
batei,LC,2011,0
bathyphilus,LC,2015,0
batuensis,LC,2010,0
baudouinii,LC,2015,0
beanii,LC,2015,0
belcheri,LC,2016,0
bennettae,NT,2008,0.2
bennetti,LC,2014,0
bergii,LC,2015,0
bericoides,LC,2015,0
berndti,LC,2016,0
bernieri,VU,2010,0.4
berryi,LC,2015,0
bertelseni,LC,2015,0
bertholdii,LC,2011,0
bestae,NT,2008,0.2
betchei,LC,2013,0
