rgn_id,species,year,Kg,,,,,,,,,,,
1,thon blanc,2015,17,,,,,,,,,,,
1,thon blanc,2014,15,,,,,,,,,,,
1,thon blanc,2013,16,,,,,,,,,,,
1,thon blanc,2012,17,,,,,,,,,,,
1,thon blanc,2011,16,,,,,,,,,,,
1,thon jaune,2015,30,,,,,,,,,,,
1,thon jaune,2014,28,,,,,,,,,,,
1,thon jaune,2013,30,,,,,,,,,,,
1,thon jaune,2012,28,,,,,,,,,,,
1,thon jaune,2011,27,,,,,,,,,,,
1,thon obèse,2015,36,,,,,,,,,,,
1,thon obèse,2014,30,,,,,,,,,,,
1,thon obèse,2013,33,,,,,,,,,,,
1,thon obèse,2012,38,,,,,,,,,,,
1,thon obèse,2011,33,,,,,,,,,,,
1,espadon,2015,147,,,,,,,,,,,
1,espadon,2014,107,,,,,,,,,,,
1,espadon,2013,126,,,,,,,,,,,
1,espadon,2012,114,,,,,,,,,,,
1,espadon,2011,85,,,,,,,,,,,
1,marlin rayé,2015,91,,,,,,,,,,,
1,marlin rayé,2014,71,,,,,,,,,,,
1,marlin rayé,2013,66,,,,,,,,,,,
1,marlin rayé,2012,91,,,,,,,,,,,
1,marlin rayé,2011,77,,,,,,,,,,,
1,marlin bleu,2015,97,,,,,,,,,,,
1,marlin bleu,2014,100,,,,,,,,,,,
1,marlin bleu,2013,80,,,,,,,,,,,
1,marlin bleu,2012,115,,,,,,,,,,,
1,marlin bleu,2011,83,,,,,,,,,,,
1,marlin noir,2015,95,,,,,,,,,,,
1,marlin noir,2014,79,,,,,,,,,,,
1,marlin noir,2013,99,,,,,,,,,,,
1,marlin noir,2012,115,,,,,,,,,,,
1,marlin noir,2011,116,,,,,,,,,,,
1,wahoo,2015,13,,,,,,,,,,,
1,wahoo,2014,13,,,,,,,,,,,
1,wahoo,2013,12,,,,,,,,,,,
1,wahoo,2012,12,,,,,,,,,,,
1,wahoo,2011,12,,,,,,,,,,,
1,saumon des dieux,2015,68,,,,,,,,,,,
1,saumon des dieux,2014,67,,,,,,,,,,,
1,saumon des dieux,2013,67,,,,,,,,,,,
1,saumon des dieux,2012,63,,,,,,,,,,,
1,saumon des dieux,2011,70,,,,,,,,,,,
1,mahi mahi,2015,8,,,,,,,,,,,
1,mahi mahi,2014,7,,,,,,,,,,,
1,mahi mahi,2013,7,,,,,,,,,,,
1,mahi mahi,2012,8,,,,,,,,,,,
1,mahi mahi,2011,9,,,,,,,,,,,
1,voilier,2015,97,,,,,,,,,,,
1,voilier,2014,47,,,,,,,,,,,
1,voilier,2013,47,,,,,,,,,,,
1,voilier,2012,45,,,,,,,,,,,
1,voilier,2011,61,,,,,,,,,,,
1,marlineau,2015,28,,,,,,,,,,,
1,marlineau,2014,28,,,,,,,,,,,
1,marlineau,2013,30,,,,,,,,,,,
1,marlineau,2012,32,,,,,,,,,,,
1,marlineau,2011,27,,,,,,,,,,,
