rgn_id, Species Name,Year,Average Weight (kg)
1,ALASKA POLLOCK(=WALLEYE POLL.),2015,No Data
1,ALASKA POLLOCK(=WALLEYE POLL.),2014,No Data
1,ALASKA POLLOCK(=WALLEYE POLL.),2013,5.000000
1,ALASKA POLLOCK(=WALLEYE POLL.),2012,No Data
1,ALASKA POLLOCK(=WALLEYE POLL.),2011,No Data
1,AMBERJACK / GIANT YELLOWTAIL,2015,No Data
1,AMBERJACK / GIANT YELLOWTAIL,2014,No Data
1,AMBERJACK / GIANT YELLOWTAIL,2013,5.000000
1,AMBERJACK / GIANT YELLOWTAIL,2012,No Data
1,AMBERJACK / GIANT YELLOWTAIL,2011,No Data
1,AMBERSTRIP SCAD,2015,No Data
1,AMBERSTRIP SCAD,2014,No Data
1,AMBERSTRIP SCAD,2013,No Data
1,AMBERSTRIP SCAD,2012,No Data
1,AMBERSTRIP SCAD,2011,No Data
1,ATLANTIC POMFRET / RAY'S BREAM,2015,No Data
1,ATLANTIC POMFRET / RAY'S BREAM,2014,No Data
1,ATLANTIC POMFRET / RAY'S BREAM,2013,No Data
1,ATLANTIC POMFRET / RAY'S BREAM,2012,No Data
1,ATLANTIC POMFRET / RAY'S BREAM,2011,4.200000
1,BARRACUDINAS  (FAMILY),2015,No Data
1,BARRACUDINAS  (FAMILY),2014,No Data
1,BARRACUDINAS  (FAMILY),2013,No Data
1,BARRACUDINAS  (FAMILY),2012,No Data
1,BARRACUDINAS  (FAMILY),2011,No Data
1,BIGEYE THRESHER SHARK,2015,No Data
1,BIGEYE THRESHER SHARK,2014,5.300000
1,BIGEYE THRESHER SHARK,2013,No Data
1,BIGEYE THRESHER SHARK,2012,No Data
1,BIGEYE THRESHER SHARK,2011,5.300000
1,BIRD (UNIDENTIFIED),2015,No Data
1,BIRD (UNIDENTIFIED),2014,No Data
1,BIRD (UNIDENTIFIED),2013,No Data
1,BIRD (UNIDENTIFIED),2012,No Data
1,BIRD (UNIDENTIFIED),2011,No Data
1,Black Bream,2015,No Data
1,Black Bream,2014,No Data
1,Black Bream,2013,4.000000
1,Black Bream,2012,No Data
1,Black Bream,2011,4.000000
1,BLACK MACKEREL,2015,2.000000
1,BLACK MACKEREL,2014,2.000000
1,BLACK MACKEREL,2013,2.000000
1,BLACK MACKEREL,2012,2.000000
1,BLACK MACKEREL,2011,2.000000
1,BLACK TRIGGERFISH,2015,No Data
1,BLACK TRIGGERFISH,2014,No Data
1,BLACK TRIGGERFISH,2013,No Data
1,BLACK TRIGGERFISH,2012,No Data
1,BLACK TRIGGERFISH,2011,88.500000
1,BLACKFIN BARRACUDA,2015,No Data
1,BLACKFIN BARRACUDA,2014,No Data
1,BLACKFIN BARRACUDA,2013,No Data
1,BLACKFIN BARRACUDA,2012,No Data
1,BLACKFIN BARRACUDA,2011,8.091666
1,BLACK-FOOTED ALBATROSS,2015,No Data
1,BLACK-FOOTED ALBATROSS,2014,No Data
1,BLACK-FOOTED ALBATROSS,2013,No Data
1,BLACK-FOOTED ALBATROSS,2012,No Data
1,BLACK-FOOTED ALBATROSS,2011,15.000000
1,BLUE SHARK,2015,65.600000
1,BLUE SHARK,2014,65.472203
1,BLUE SHARK,2013,79.770370
1,BLUE SHARK,2012,65.962790
1,BLUE SHARK,2011,66.197391
1,BLUE SPRAT,2015,No Data
1,BLUE SPRAT,2014,No Data
1,BLUE SPRAT,2013,No Data
1,BLUE SPRAT,2012,1.000000
1,BLUE SPRAT,2011,No Data
1,BRILLIANT POMFRET,2015,No Data
1,BRILLIANT POMFRET,2014,No Data
1,BRILLIANT POMFRET,2013,2.300000
1,BRILLIANT POMFRET,2012,No Data
1,BRILLIANT POMFRET,2011,0.900000
1,BRONZE WHALER SHARK,2015,No Data
1,BRONZE WHALER SHARK,2014,No Data
1,BRONZE WHALER SHARK,2013,No Data
1,BRONZE WHALER SHARK,2012,No Data
1,BRONZE WHALER SHARK,2011,26.000000
1,BULL SHARK,2015,No Data
1,BULL SHARK,2014,No Data
1,BULL SHARK,2013,No Data
1,BULL SHARK,2012,50.000000
1,BULL SHARK,2011,50.000000
1,CAPE PIGEON,2015,No Data
1,CAPE PIGEON,2014,No Data
1,CAPE PIGEON,2013,5.000000
1,CAPE PIGEON,2012,No Data
1,CAPE PIGEON,2011,No Data
1,CHINA ANCHOVY                                     ,2015,No Data
1,CHINA ANCHOVY                                     ,2014,No Data
1,CHINA ANCHOVY                                     ,2013,No Data
1,CHINA ANCHOVY                                     ,2012,1.000000
1,CHINA ANCHOVY                                     ,2011,1.000000
1,COBIA,2015,No Data
1,COBIA,2014,No Data
1,COBIA,2013,No Data
1,COBIA,2012,5.000000
1,COBIA,2011,No Data
1,CRESTFISH,2015,No Data
1,CRESTFISH,2014,9.300000
1,CRESTFISH,2013,No Data
1,CRESTFISH,2012,No Data
1,CRESTFISH,2011,No Data
1,CRESTFISH/UNICORNFISH,2015,2.000000
1,CRESTFISH/UNICORNFISH,2014,2.000000
1,CRESTFISH/UNICORNFISH,2013,No Data
1,CRESTFISH/UNICORNFISH,2012,No Data
1,CRESTFISH/UNICORNFISH,2011,2.000000
1,CROCODILE SHARK,2015,No Data
1,CROCODILE SHARK,2014,3.200000
1,CROCODILE SHARK,2013,No Data
1,CROCODILE SHARK,2012,No Data
1,CROCODILE SHARK,2011,No Data
1,Devil Manta Ray (Mobula nei),2015,15.000000
1,Devil Manta Ray (Mobula nei),2014,No Data
1,Devil Manta Ray (Mobula nei),2013,No Data
1,Devil Manta Ray (Mobula nei),2012,No Data
1,Devil Manta Ray (Mobula nei),2011,No Data
1,ESCOLAR,2015,15.250000
1,ESCOLAR,2014,12.879411
1,ESCOLAR,2013,11.687500
1,ESCOLAR,2012,14.384905
1,ESCOLAR,2011,12.086440
1,FILEFISHES,2015,No Data
1,FILEFISHES,2014,No Data
1,FILEFISHES,2013,No Data
1,FILEFISHES,2012,1.000000
1,FILEFISHES,2011,No Data
1,GEMFISH (SOUTHERN OR SILVER KINGFISH),2015,No Data
1,GEMFISH (SOUTHERN OR SILVER KINGFISH),2014,6.733333
1,GEMFISH (SOUTHERN OR SILVER KINGFISH),2013,4.700000
1,GEMFISH (SOUTHERN OR SILVER KINGFISH),2012,0.566666
1,GEMFISH (SOUTHERN OR SILVER KINGFISH),2011,4.700000
1,GLAUERT'S ANGLERFISH                              ,2015,3.000000
1,GLAUERT'S ANGLERFISH                              ,2014,No Data
1,GLAUERT'S ANGLERFISH                              ,2013,3.000000
1,GLAUERT'S ANGLERFISH                              ,2012,No Data
1,GLAUERT'S ANGLERFISH                              ,2011,No Data
1,GREAT BARRACUDA,2015,5.350000
1,GREAT BARRACUDA,2014,5.908333
