rgn_id, Species Name,Year,Average Weight (kg),,,,
1,ALBACORE,2015,16.843621,,,,
1,ALBACORE,2014,15.499499,,,,
1,ALBACORE,2013,16.151493,,,,
1,ALBACORE,2012,16.657048,,,,
1,ALBACORE,2011,16.167825,,,,
1,BIGEYE,2015,36.286567,,,,
1,BIGEYE,2014,30.256716,,,,
1,BIGEYE,2013,32.851456,,,,
1,BIGEYE,2012,38.210937,,,,
1,BIGEYE,2011,33.518627,,,,
1,BLACK MARLIN,2015,94.591304,,,,
1,BLACK MARLIN,2014,79.150000,,,,
1,BLACK MARLIN,2013,99.392307,,,,
1,BLACK MARLIN,2012,114.742857,,,,
1,BLACK MARLIN,2011,83.267857,,,,
1,BLUE MARLIN,2015,96.600000,,,,
1,BLUE MARLIN,2014,100.420000,,,,
1,BLUE MARLIN,2013,79.980000,,,,
1,BLUE MARLIN,2012,114.750000,,,,
1,BLUE MARLIN,2011,116.106250,,,,
1,SAILFISH (INDO-PACIFIC),2015,96.800000,,,,
1,SAILFISH (INDO-PACIFIC),2014,46.662500,,,,
1,SAILFISH (INDO-PACIFIC),2013,47.391666,,,,
1,SAILFISH (INDO-PACIFIC),2012,45.216666,,,,
1,SAILFISH (INDO-PACIFIC),2011,61.018181,,,,
1,SHORT-BILLED SPEARFISH,2015,27.839393,,,,
1,SHORT-BILLED SPEARFISH,2014,27.859493,,,,
1,SHORT-BILLED SPEARFISH,2013,30.510344,,,,
1,SHORT-BILLED SPEARFISH,2012,32.323809,,,,
1,SHORT-BILLED SPEARFISH,2011,27.197959,,,,
1,SKIPJACK,2015,6.721511,,,,
1,SKIPJACK,2014,6.268721,,,,
1,SKIPJACK,2013,5.998744,,,,
1,SKIPJACK,2012,6.142138,,,,
1,SKIPJACK,2011,6.119371,,,,
1,SOUTHERN BLUEFIN TUNA,2011,66.200000,,,,
1,STRIPED MARLIN,2015,90.704761,,,,
1,STRIPED MARLIN,2014,71.029310,,,,
1,STRIPED MARLIN,2013,66.000000,,,,
1,STRIPED MARLIN,2012,91.270731,,,,
1,STRIPED MARLIN,2011,76.520634,,,,
1,SWORDFISH,2015,147.233333,,,,
1,SWORDFISH,2014,107.043750,,,,
1,SWORDFISH,2013,125.876470,,,,
1,SWORDFISH,2012,114.375000,,,,
1,SWORDFISH,2011,85.238888,,,,
1,YELLOWFIN,2015,29.504391,,,,
1,YELLOWFIN,2014,28.105768,,,,
1,YELLOWFIN,2013,30.143541,,,,
1,YELLOWFIN,2012,28.402797,,,,
1,YELLOWFIN,2011,26.678150,,,,
