rgn_id, Species Name,Year,Tonnes
1,ALASKA POLLOCK(=WALLEYE POLL.),2015,No Data
1,ALASKA POLLOCK(=WALLEYE POLL.),2014,No Data
1,ALASKA POLLOCK(=WALLEYE POLL.),2013,0.005000
1,ALASKA POLLOCK(=WALLEYE POLL.),2012,No Data
1,ALASKA POLLOCK(=WALLEYE POLL.),2011,No Data
1,AMBERJACK / GIANT YELLOWTAIL,2015,No Data
1,AMBERJACK / GIANT YELLOWTAIL,2014,No Data
1,AMBERJACK / GIANT YELLOWTAIL,2013,0.005000
1,AMBERJACK / GIANT YELLOWTAIL,2012,No Data
1,AMBERJACK / GIANT YELLOWTAIL,2011,No Data
1,AMBERSTRIP SCAD,2015,No Data
1,AMBERSTRIP SCAD,2014,No Data
1,AMBERSTRIP SCAD,2013,No Data
1,AMBERSTRIP SCAD,2012,No Data
1,AMBERSTRIP SCAD,2011,No Data
1,ATLANTIC POMFRET / RAY'S BREAM,2015,No Data
1,ATLANTIC POMFRET / RAY'S BREAM,2014,No Data
1,ATLANTIC POMFRET / RAY'S BREAM,2013,No Data
1,ATLANTIC POMFRET / RAY'S BREAM,2012,No Data
1,ATLANTIC POMFRET / RAY'S BREAM,2011,0.004200
1,BARRACUDINAS  (FAMILY),2015,No Data
1,BARRACUDINAS  (FAMILY),2014,No Data
1,BARRACUDINAS  (FAMILY),2013,No Data
1,BARRACUDINAS  (FAMILY),2012,No Data
1,BARRACUDINAS  (FAMILY),2011,No Data
1,BIGEYE THRESHER SHARK,2015,No Data
1,BIGEYE THRESHER SHARK,2014,0.010600
1,BIGEYE THRESHER SHARK,2013,No Data
1,BIGEYE THRESHER SHARK,2012,No Data
1,BIGEYE THRESHER SHARK,2011,0.005300
1,BIRD (UNIDENTIFIED),2015,No Data
1,BIRD (UNIDENTIFIED),2014,No Data
1,BIRD (UNIDENTIFIED),2013,No Data
1,BIRD (UNIDENTIFIED),2012,No Data
1,BIRD (UNIDENTIFIED),2011,No Data
1,Black Bream,2015,No Data
1,Black Bream,2014,No Data
1,Black Bream,2013,0.012000
1,Black Bream,2012,No Data
1,Black Bream,2011,0.004000
1,BLACK MACKEREL,2015,0.002000
1,BLACK MACKEREL,2014,0.002000
1,BLACK MACKEREL,2013,0.006000
1,BLACK MACKEREL,2012,0.004000
1,BLACK MACKEREL,2011,0.002000
1,BLACK TRIGGERFISH,2015,No Data
1,BLACK TRIGGERFISH,2014,No Data
1,BLACK TRIGGERFISH,2013,No Data
1,BLACK TRIGGERFISH,2012,No Data
1,BLACK TRIGGERFISH,2011,0.088500
1,BLACKFIN BARRACUDA,2015,No Data
1,BLACKFIN BARRACUDA,2014,No Data
1,BLACKFIN BARRACUDA,2013,No Data
1,BLACKFIN BARRACUDA,2012,No Data
1,BLACKFIN BARRACUDA,2011,0.097100
1,BLACK-FOOTED ALBATROSS,2015,No Data
1,BLACK-FOOTED ALBATROSS,2014,No Data
1,BLACK-FOOTED ALBATROSS,2013,No Data
1,BLACK-FOOTED ALBATROSS,2012,No Data
1,BLACK-FOOTED ALBATROSS,2011,0.015000
1,BLUE SHARK,2015,11.480000
1,BLUE SHARK,2014,19.314300
1,BLUE SHARK,2013,4.307600
1,BLUE SHARK,2012,17.018400
1,BLUE SHARK,2011,22.838100
1,BLUE SPRAT,2015,No Data
1,BLUE SPRAT,2014,No Data
1,BLUE SPRAT,2013,No Data
1,BLUE SPRAT,2012,0.001000
1,BLUE SPRAT,2011,No Data
1,BRILLIANT POMFRET,2015,No Data
1,BRILLIANT POMFRET,2014,No Data
1,BRILLIANT POMFRET,2013,0.004600
1,BRILLIANT POMFRET,2012,No Data
1,BRILLIANT POMFRET,2011,0.000900
1,BRONZE WHALER SHARK,2015,No Data
1,BRONZE WHALER SHARK,2014,No Data
1,BRONZE WHALER SHARK,2013,No Data
1,BRONZE WHALER SHARK,2012,No Data
1,BRONZE WHALER SHARK,2011,0.260000
1,BULL SHARK,2015,No Data
1,BULL SHARK,2014,No Data
1,BULL SHARK,2013,No Data
1,BULL SHARK,2012,0.150000
1,BULL SHARK,2011,0.050000
1,CAPE PIGEON,2015,No Data
1,CAPE PIGEON,2014,No Data
1,CAPE PIGEON,2013,0.010000
1,CAPE PIGEON,2012,No Data
1,CAPE PIGEON,2011,No Data
1,CHINA ANCHOVY                                     ,2015,No Data
1,CHINA ANCHOVY                                     ,2014,No Data
1,CHINA ANCHOVY                                     ,2013,No Data
1,CHINA ANCHOVY                                     ,2012,0.001000
1,CHINA ANCHOVY                                     ,2011,0.002000
1,COBIA,2015,No Data
1,COBIA,2014,No Data
1,COBIA,2013,No Data
1,COBIA,2012,0.015000
1,COBIA,2011,No Data
1,CRESTFISH,2015,No Data
1,CRESTFISH,2014,0.009300
1,CRESTFISH,2013,No Data
1,CRESTFISH,2012,No Data
1,CRESTFISH,2011,No Data
1,CRESTFISH/UNICORNFISH,2015,0.002000
1,CRESTFISH/UNICORNFISH,2014,0.008000
1,CRESTFISH/UNICORNFISH,2013,No Data
1,CRESTFISH/UNICORNFISH,2012,No Data
1,CRESTFISH/UNICORNFISH,2011,0.006000
1,CROCODILE SHARK,2015,No Data
1,CROCODILE SHARK,2014,0.003200
1,CROCODILE SHARK,2013,No Data
1,CROCODILE SHARK,2012,No Data
1,CROCODILE SHARK,2011,No Data
1,Devil Manta Ray (Mobula nei),2015,0.015000
1,Devil Manta Ray (Mobula nei),2014,No Data
1,Devil Manta Ray (Mobula nei),2013,No Data
1,Devil Manta Ray (Mobula nei),2012,No Data
1,Devil Manta Ray (Mobula nei),2011,No Data
1,ESCOLAR,2015,0.213500
1,ESCOLAR,2014,0.875800
1,ESCOLAR,2013,0.187000
1,ESCOLAR,2012,0.762400
1,ESCOLAR,2011,0.713100
1,FILEFISHES,2015,No Data
1,FILEFISHES,2014,No Data
1,FILEFISHES,2013,No Data
1,FILEFISHES,2012,0.001000
1,FILEFISHES,2011,No Data
1,GEMFISH (SOUTHERN OR SILVER KINGFISH),2015,No Data
1,GEMFISH (SOUTHERN OR SILVER KINGFISH),2014,0.020200
1,GEMFISH (SOUTHERN OR SILVER KINGFISH),2013,0.004700
1,GEMFISH (SOUTHERN OR SILVER KINGFISH),2012,0.001700
1,GEMFISH (SOUTHERN OR SILVER KINGFISH),2011,0.009400
1,GLAUERT'S ANGLERFISH                              ,2015,0.003000
1,GLAUERT'S ANGLERFISH                              ,2014,No Data
1,GLAUERT'S ANGLERFISH                              ,2013,0.009000
1,GLAUERT'S ANGLERFISH                              ,2012,No Data
1,GLAUERT'S ANGLERFISH                              ,2011,No Data
1,GREAT BARRACUDA,2015,0.203300
1,GREAT BARRACUDA,2014,0.709000
